engine_size,fuel_type,avg_speed,max_speed,avg_acceleration,trip_distance,trip_duration,speed_ratio,idle_ratio,speed_squared,fuel_used
1.624,1,95.6,203.1,3.79,13.33,8.18,2.12,0.0,9.14,1.38
2.706,1,64.1,134.1,0.61,77.62,95.63,2.09,0.24,4.11,5.8
1.2,1,26.5,40.4,3.39,35.12,83.14,1.52,0.044,0.7,2.23
1.107,1,36.3,58.5,3.01,63.03,104.16,1.61,0.0,1.32,3.48
2.103,1,14.2,27.7,1.44,6.14,35.66,1.95,0.272,0.2,0.72
2.578,1,37.4,46.3,4.26,35.77,55.15,1.24,0.0,1.4,5.04
0.876,1,91.8,134.2,4.14,25.63,19.43,1.46,0.138,8.43,1.59
1.207,1,97.3,212.6,5.67,71.69,53.0,2.18,0.166,9.47,8.11
0.995,1,27.6,32.1,2.29,31.71,71.39,1.16,0.034,0.76,1.51
1.585,1,35.3,65.7,1.28,64.37,102.55,1.86,0.0,1.25,4.71
2.499,1,27.9,30.9,4.99,56.84,154.57,1.11,0.209,0.78,8.76
0.963,1,42.3,53.4,5.25,50.24,75.93,1.26,0.061,1.79,2.01
1.484,1,39.3,83.4,4.01,71.09,123.31,2.12,0.12,1.54,5.5
2.369,1,78.5,148.0,4.74,40.01,35.52,1.89,0.139,6.16,5.1
0.856,1,19.7,22.5,4.0,25.83,90.81,1.14,0.134,0.39,1.52
1.348,1,46.9,101.2,1.76,7.08,9.46,2.16,0.043,2.2,0.3
2.845,1,82.7,164.3,5.29,64.49,46.47,1.99,0.0,6.84,11.64
1.987,1,82.7,194.7,2.25,9.69,7.13,2.35,0.014,6.84,0.83
2.6,1,87.5,97.1,3.31,33.98,23.56,1.11,0.011,7.66,3.6
1.543,1,94.9,147.3,3.35,56.54,38.67,1.55,0.076,9.01,6.35
2.917,1,32.7,58.7,2.15,23.5,39.6,1.8,0.0,1.07,3.23
1.906,1,14.6,21.8,5.5,19.93,79.65,1.49,0.0,0.21,2.8
2.968,1,31.8,64.9,4.69,19.77,47.15,2.04,0.209,1.01,3.45
2.191,1,67.0,124.0,1.0,66.99,63.61,1.85,0.057,4.49,4.18
0.89,1,63.2,129.5,0.59,41.46,39.88,2.05,0.013,3.99,1.13
1.184,1,72.2,118.5,5.65,11.86,10.55,1.64,0.066,5.21,0.74
